Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Del,"Roseate House,Aerocity, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  European,  Asian,  Sushi",4.5,708,5000
Sattvik,"Select Citywalk Mall,Saket, South Delhi", South Delhi,Delhi,North Indian,4.4,556,1600
Barbeque Nation,"Savoy Suites,Sector 16, Noida", Noida,Noida,"North Indian,  Barbecue,  Mughlai",4.5,888,1700
Pind Balluchi,"Hotel TE,Greater Kailash - 1, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai,  European,  Asian",3.9,77,2200
Healthy Chef,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Health Food,  North Indian",4.8,11,800
Dhansoo Cafe,"Tagore Garden, West Delhi", West Delhi,Delhi,"North Indian,  Seafood,  Street Food",4,1,2000
Sardar-Ji-Bakhsh Coffee & Co.,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"Fast Food,  Coffee,  Desserts",4.5,2,700
The Tandoor,"Rajouri Garden, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",4,8,800
Oh! Calcutta,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"Seafood,  Bengali",4.5,402,2400
The Fit Food,"Punjabi Bagh, West Delhi", West Delhi,Delhi,Health Food,4.6,11,1500
Social,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"North Indian,  Continental,  American",4.4,239,2000
RP's Restaurant,"Malviya Nagar, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  South Indian,  Mughlai",4.1,80,900
Khalsa Parivar Restaurant,"Mayapuri Phase - 2, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.1,104,700
Havemore,"MGF Metropolitan Mall,Saket, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai",4.1,10,2500
Ping's Cafe Orient,"DLF Avenue,Saket, South Delhi", South Delhi,Delhi,Asian,4.6,8,2100
Tasim,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Chinese,  Thai",4.2,15,1100
PCO,"Vasant Vihar, South Delhi", South Delhi,Delhi,"Chinese,  Asian",4.3,86,2000
Bintang Sweet Thrills,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Desserts,  Fast Food",5,3,400
Cafe Delhi Heights,"DLF Promenade Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.3,628,2000
The Tummy Section,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Fast Food,  Chinese",3.5,17,600
The Yellow Chilli,"Pacific Mall,Sahibabad, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Mughlai",4.1,355,2000
The Blue Parrot Cafe,"The Orion Plaza,Kalkaji, South Delhi", South Delhi,Delhi,"North Indian,  Thai,  Asian,  Continental",4,32,1300
FO - Food Overloaded,"Paschim Vihar, West Delhi", West Delhi,Delhi,"Chinese,  North Indian,  Italian,  Fast Food,  Pizza",4.5,170,1200
The Tandoor,"Rajouri Garden, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Fast Food",3.6,22,1500
Underdoggs,"Worldmark 2,Aerocity, South Delhi", South Delhi,Delhi,"Continental,  Mexican",4.4,155,2000
Lawn Bistro,"Sector 15 A, Noida", Noida,Noida,"Continental,  North Indian,  Oriental ",4.3,265,1800
Doodle's Garden,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental",4.1,89,2100
Meethi By Wok In The Clouds,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Desserts,  Mithai",4,1,1000
Cafe Rendezvous Suribachi,"Corner Market,Malviya Nagar, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Seafood,  Asian",3.8,77,1800
PapaJi & Sons,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Continental",3.7,12,900
Jamie's Pizzeria By Jamie Oliver,"Pacific Mall,Tagore Garden, West Delhi", West Delhi,Delhi,"Italian,  Pizza",4.4,217,2000
AnnaMaya,"Andaz Delhi,Aerocity, South Delhi", South Delhi,Delhi,"European,  North Indian,  Continental",4.2,312,4000
The Waffle Co.,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"Desserts,  Waffle,  Shakes",5,1,400
Little Attock,"Okhla Phase - 3, South Delhi", South Delhi,Delhi,"Indian Cuisine,  Health Food,  Modern Indian",4.4,9,1200
The Waffle Co.,"Shalimar Bagh, North Delhi", North Delhi,Delhi,"Desserts,  Waffle,  Shakes",4,1,400
Subway,"Karkardooma, East Delhi", East Delhi,Delhi,Health Food,1,2,500
Flavors Of Chennai,"Corner Market,Malviya Nagar, South Delhi", South Delhi,Delhi,South Indian,4.3,67,500
Munchies Midnight Delivery,"Vardhman Sunrise Plaza,Vasundhara Enclave, East Delhi", East Delhi,Delhi,Fast Food,5,1,400
AlKauser,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"Mughlai,  North Indian",3.4,4,800
Khidmat,"Kalkaji, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.2,204,1000
Rooftop ??The View,"Radisson Blu Towers,Kaushambi, Ghaziabad", Ghaziabad,Ghaziabad,"Multi-Cuisine,  North Indian,  Italian,  Continental",4.2,143,2800
Smoke House Deli,"DLF Promenade Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,"Italian,  European,  American",4.4,799,2200
Khanabadosh Tavern,"Kalkaji, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  American,  Mughlai",3.9,48,800
Bokan,"East of Kailash, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",4.1,385,1300
Chocolateria San Churro,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"Desserts,  Bakery and Confectionary,  Fast Food",4.3,99,1000
Biryani Blues,"Corner Market,Malviya Nagar, South Delhi", South Delhi,Delhi,"Biryani,  Hyderabadi",4.3,34,1200
Waves,"Adchini, South Delhi", South Delhi,Delhi,"North Indian,  Chinese",4.2,99,2000
Six Degree Cakes and Coffees,"Safdarjung Enclave Market,Safdarjung, South Delhi", South Delhi,Delhi,Bakery and Confectionary,1,1,500
QLA,"Mehrauli, South Delhi", South Delhi,Delhi,"European,  Italian,  Spanish",4.3,201,3000
Mughal Darbar Restaurant,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"Mughlai,  North Indian",4.2,25,1000
Stop My Starvation,"Corner Market,Malviya Nagar, South Delhi", South Delhi,Delhi,"Desserts,  Fast Food,  Shakes,  Waffle",3.8,7,600
Laidback Cafe,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Mediterranean,  Asian",4.3,264,2000
Tandoori Brothers,"Malviya Nagar, South Delhi", South Delhi,Delhi,"North Indian,  Fast Food",5,5,800
Sardar-Ji-Bakhsh Coffee & Co.,"Aggarwal Millennium Tower,Netaji Subhash Place, North Delhi", North Delhi,Delhi,"Fast Food,  Coffee,  Desserts",3,1,700
Little Chef,"Kalkaji, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai,  Chinese",4,1,600
Wendy's,"Kalkaji, South Delhi", South Delhi,Delhi,"Fast Food,  Burger,  American",5,1,500
Food Sixteen,"Azadpur, North Delhi", North Delhi,Delhi,"North Indian,  Chinese",4.4,26,600
Gaon,"Malviya Nagar, South Delhi", South Delhi,Delhi,"Rajasthani,  Bihari",4,41,1200
Tikka Junction,"Malviya Nagar, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Mughlai,  Fast Food",4.2,219,1500
In The Punjab,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai",4.4,240,3200
Barbeque Nation,"DLF Avenue,Saket, South Delhi", South Delhi,Delhi,"North Indian,  Barbecue,  Mughlai",4.5,427,1700
Sly Granny,"Select Citywalk Mall,Saket, South Delhi", South Delhi,Delhi,"European,  American",4.6,62,2500
Soo Yung By The Backyard,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"Asian,  Thai,  Japanese",4.1,88,1200
My Spice Kitchen,"Chittaranjan Park, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai,  Hyderabadi,  Biryani",4.2,6,1000
LIT Nuit Club & Bar,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mughlai",3.3,40,2700
Yangkiez,"Malviya Nagar, South Delhi", South Delhi,Delhi,"Chinese,  Asian,  Fast Food,  Tibetan",4.6,5,500
Farmers Basket at Pluck,"Hotel Pullman New Delhi Aerocity,Aerocity, South Delhi", South Delhi,Delhi,"Continental,  European,  Modern Indian,  North Indian",4.5,504,3700
Monkey Bar,"Vasant Kunj, South Delhi", South Delhi,Delhi,"Continental,  North Indian,  European,  American",4.5,630,1500
Swan,"Mehrauli, South Delhi", South Delhi,Delhi,"Italian,  Japanese",3.3,8,2000
Food Uncensored,"Sheikh Sarai, South Delhi", South Delhi,Delhi,Fast Food,5,1,400
Chateau de Pondichery,"Adchini, South Delhi", South Delhi,Delhi,"Mediterranean,  French,  Chettinad",4.4,73,2000
Social Street Cafe,"Champa Gali,Saket, South Delhi", South Delhi,Delhi,"Italian,  Chinese,  Fast Food",4.3,375,1200
Imperfecto,"Gardens Galleria,Sector 38A, Noida", Noida,Noida,"Multi-Cuisine,  North Indian,  Mediterranean",4,1403,2400
Punjabi By Nature,"Vasant Kunj, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai",4.2,23,2000
Smoke House Deli,"DLF Avenue,Saket, South Delhi", South Delhi,Delhi,"Italian,  European,  American",4.3,423,2200
Kake Da Hotel,"Chittaranjan Park, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai",4,7,1000
Big Wong XL,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"Chinese,  Thai,  Seafood,  Sushi",4.1,86,2000
Kylin Experience,"Ambience Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,"Asian,  Chinese,  Thai,  Japanese,  Oriental ",4.2,550,2000
Kiara - Soul Kitchen,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"Asian,  Indian Cuisine",4.4,120,2000
The Himalayan Kitchen,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"Tibetan,  Nepalese,  Chinese",4.2,221,1600
Coffee Cafe 9,"Malviya Nagar, South Delhi", South Delhi,Delhi,"Coffee,  Desserts,  Fast Food",5,13,700
Govardhan Vegetarian,"Adchini, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  South Indian",4.1,68,900
Shibuya Food & Bar,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"Asian,  Chinese,  Thai,  Japanese",4.5,73,1800
Dhaba Estd 1986 Delhi,"Worldmark 2,Aerocity, South Delhi", South Delhi,Delhi,North Indian,4.2,306,1200
Kake Da Hotel,"Malviya Nagar, South Delhi", South Delhi,Delhi,North Indian,4.3,3,1000
Chungwa,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"Chinese,  Thai,  Seafood",4.3,129,1700
Tossin Pizza,"Sector 50, Noida", Noida,Noida,"Pizza,  Italian",4,5,800
India Grill,"Hilton Garden Inn,Saket, South Delhi", South Delhi,Delhi,"North Indian,  Continental,  Italian",3.9,391,2200
Biryani Blues,"Pacific Mall,Tagore Garden, West Delhi", West Delhi,Delhi,"Biryani,  Hyderabadi",3.9,83,700
Joy Luck Moon,"Select Citywalk Mall,Saket, South Delhi", South Delhi,Delhi,"Chinese,  Oriental ,  Asian,  Singaporean",4.3,144,2300
Big Fat Sandwich and Pizza,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"Italian,  American,  Fast Food",4.7,21,900
Truffle Story,"Chittaranjan Park, South Delhi", South Delhi,Delhi,"Bakery and Confectionary,  Desserts",4.4,2,400
Diablo,"Mehrauli, South Delhi", South Delhi,Delhi,"Turkish,  Iranian",4.2,194,2000
Jamie's Italian,"Ambience Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,Italian,4.4,442,1800
Desi Vibes,"Sector 18, Noida", Noida,Noida,"North Indian,  Mughlai",4.4,870,1700
Chaayos,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"Street Food,  Tea,  Fast Food",4.3,27,500
Moti Mahal Delux,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.4,117,1500
Taco Bell,"Ambience Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,"Mexican,  Tex Mex",4.4,82,500
Berco's,"Sector 12, Noida", Noida,Noida,"Chinese,  Thai",4.3,691,1300
Laidback Bar,"Salcon RasVilas Mall,Saket, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Mediterranean,  Asian",4.8,26,2000
Chaayos,"Pacific Mall,Tagore Garden, West Delhi", West Delhi,Delhi,"Street Food,  Tea,  Fast Food",4.3,34,500
Bo Tai,"Mehrauli, South Delhi", South Delhi,Delhi,"Italian,  Thai",4.4,80,3000
ABs - Absolute Barbecues,"Sector 62, Noida", Noida,Noida,"North Indian,  Mediterranean,  European,  Barbecue",4.5,337,1800
Duty Free Courtyard,"Gardens Galleria,Sector 38A, Noida", Noida,Noida,Finger Food,3.9,524,1500
Mad Over Donuts,"Pacific Mall,Tagore Garden, West Delhi", West Delhi,Delhi,"Desserts,  Doughnuts",4.3,69,400
Ambra,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,Fast Food,4.3,16,300
Kylin Skybar,"Ambience Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,"Asian,  Chinese,  Thai,  Japanese,  Malaysian",4.3,225,2200
Kesar,"Aggarwal Chambers,Pitampura, North Delhi", North Delhi,Delhi,"North Indian,  Chinese,  Fast Food",4.6,37,800
Horn Please Resto Cafe,"Hotel Royal Castle Grand,Chittaranjan Park, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai,  Chinese",4.2,45,1000
Taco Bell,"Select Citywalk Mall,Saket, South Delhi", South Delhi,Delhi,"Mexican,  Tex Mex",4.4,19,500
Jugmug Thela,"Champa Gali,Saket, South Delhi", South Delhi,Delhi,"Coffee,  Italian,  Fast Food,  Tea",4.1,74,1200
Kabooze,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Fast Food",3.5,33,2200
C.I.A. Call It Asiian,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"Asian,  Chinese,  Thai",4.6,85,900
Le Cantine,"DLF Promenade Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,"Continental,  European",4.2,122,2000
Madly Bangalee,"Chittaranjan Park, South Delhi", South Delhi,Delhi,Bengali,3,1,800
Garam Dharam,"Sector 18, Noida", Noida,Noida,"North Indian,  Chinese",4,281,1600
Tikka Junction,"Jail Road, West Delhi", West Delhi,Delhi,"North Indian,  Fast Food",4.2,259,1500
100% Rock,"Ambience Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,"North Indian,  Chinese",4.1,591,1200
Time Machine,"Gardens Galleria,Sector 38A, Noida", Noida,Noida,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Oriental ",4.2,759,3000
Taco Bell,"Gourmet Hub,Paschim Vihar, West Delhi", West Delhi,Delhi,"Mexican,  Tex Mex",3.9,14,500
Farzi Cafe,"Worldmark 3,Aerocity, South Delhi", South Delhi,Delhi,"Modern Indian,  Continental,  Finger Food",4.2,340,2000
Cafe Me,"Community Center B Block,Janakpuri, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Chinese",4.3,504,1200
Moire Cafe Lounge & Bar,"Gardens Galleria,Sector 38A, Noida", Noida,Noida,"Multi-Cuisine,  North Indian,  Continental,  Oriental ",4.1,251,1500
PizzaExpress,"Ambience Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,"Italian,  European",4.5,451,1400
Shaolin,"Malviya Nagar, South Delhi", South Delhi,Delhi,"Chinese,  Seafood,  Fast Food,  Tibetan",3.6,4,800
Thai High,"Ambawatta One Complex,Mehrauli, South Delhi", South Delhi,Delhi,"Thai,  Seafood",4.4,400,2000
Jom Jom Malay,"Saket, South Delhi", South Delhi,Delhi,"Malaysian,  Indonesian",4.5,209,1500
Krispy Kreme,"Select Citywalk Mall,Saket, South Delhi", South Delhi,Delhi,"Desserts,  Doughnuts",4.5,42,400
Cafe Canteen,"Jail Road, West Delhi", West Delhi,Delhi,"Fast Food,  Oriental ,  Shakes",4.1,85,500
Mamagoto,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"Asian,  Chinese,  Thai,  Japanese",4.4,461,1500
Kake Da Hotel,"Jail Road, West Delhi", West Delhi,Delhi,"North Indian,  Mughlai",4.3,66,1000
Daryaganj,"Worldmark 1,Aerocity, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai",4.2,104,2000
Legends Of India,"Sector 16, Noida", Noida,Noida,"North Indian,  Mughlai,  Biryani,  Desserts",3,12,1000
Kartoon Cafe,"The Fusion House,Janakpuri, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  Chinese,  Mexican,  Bakery and Confectionary,  Indian Cuisine",4.4,122,1000
Bread Talk,"Select Citywalk Mall,Saket, South Delhi", South Delhi,Delhi,"Desserts,  Fast Food,  Bakery and Confectionary",4,1,500
Mad Over Donuts,"DLF Promenade Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,"Desserts,  Doughnuts",4.5,60,400
Go Pappe,"Janakpuri, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Continental,  Oriental ",4.6,85,1200
Sandoz,"Jail Road, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",3.5,63,1000
Green Vatika,"Rohini, North Delhi", North Delhi,Delhi,"North Indian,  Chinese,  Fast Food",4,173,1700
Liv Bar,"Worldmark 1,Aerocity, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  Chinese,  Continental,  European",4.2,335,2600
Delhi Pavilion,"Sheraton New Delhi Hotel,Saket, South Delhi", South Delhi,Delhi,"North Indian,  Continental,  Asian",4.5,155,3000
Chaayos,"DLF Promenade Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,"Street Food,  Tea,  Fast Food",4.5,24,500
The Veggie Bites,"Pitampura, North Delhi", North Delhi,Delhi,"North Indian,  Chinese",4.2,68,900
MAI BAO,"Saket, South Delhi", South Delhi,Delhi,"Singaporean,  Chinese,  Seafood",3.4,9,1500
M Dosa Express,"Jail Road, West Delhi", West Delhi,Delhi,South Indian,5,1,400
Standard Burfee,"Jail Road, West Delhi", West Delhi,Delhi,"Mithai,  North Indian,  South Indian,  Street Food",4.3,127,700
Barbeque Nation,"Vasant Kunj, South Delhi", South Delhi,Delhi,"North Indian,  Barbecue,  Mughlai",4.6,328,1700
La Roca,"Worldmark 1,Aerocity, South Delhi", South Delhi,Delhi,"European,  Turkish,  Asian,  Modern Indian",4.3,357,2600
The Patiala Kkitchen,"Dharam Palace Mall,Sector 18, Noida", Noida,Noida,"North Indian,  Chinese",4.2,327,1600
Noire - Live Kitchen,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,"Italian,  Continental",3,1,1500
Over The Top - BBQ Grill,"Janakpuri, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Oriental ",3.7,908,1400
Pizza Connection,"Kalkaji, South Delhi", South Delhi,Delhi,"Fast Food,  Pizza,  Italian",5,1,500
Neon Cafe & Bowl,"Select Citywalk Mall,Saket, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mughlai",3.5,13,1800
Big Banana,"Saket, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Mughlai",3.9,8,1100
Krispy Kreme,"DLF Promenade Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,"Desserts,  Doughnuts,  Coffee,  Shakes",3.7,23,400
The Terrace Restro-Lounge,"Shopprix Mall,Vaishali, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese",4.2,69,1500
Food Exchange,"Novotel New Delhi Aerocity,Aerocity, South Delhi", South Delhi,Delhi,"North Indian,  European,  Oriental ",4.3,558,3500
Giani,"Subhash Nagar, West Delhi", West Delhi,Delhi,"Desserts,  Ice Cream,  Shakes",1,1,400
Cafe Di Milano,"Dwarka, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  American",4.3,524,1000
PizzaExpress,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"Italian,  European",4.4,583,1400
BonJuz,"Ambience Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,Health Food,4.1,10,500
Punjab Grill,"Worldmark 1,Aerocity, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai",4.2,173,1800
The Kylin Experience,"Worldmark 2,Aerocity, South Delhi", South Delhi,Delhi,"Asian,  Chinese,  Thai,  Vietnamese,  Sushi",4.5,192,2700
Lord of the Drinks,"Gardens Galleria,Sector 38A, Noida", Noida,Noida,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Japanese,  Oriental ",4,261,2000
Nanking,"Vasant Kunj, South Delhi", South Delhi,Delhi,"Chinese,  Seafood",4.3,138,2000
Kheer,"Roseate House,Aerocity, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai",4.6,302,6000
Baby Dragon Bar and Restaurant,"Sector 18, Noida", Noida,Noida,"Chinese,  North Indian,  Continental,  Thai,  Fast Food",4.2,308,2000
Subway,"DLF Mall of India,Sector 18, Noida", Noida,Noida,Health Food,5,6,500
The Barbeque Company,"Gardens Galleria,Sector 38A, Noida", Noida,Noida,"North Indian,  Chinese,  Mughlai,  Barbecue",4.3,274,1500
Moti Mahal Delux - Exclusive,"Sector 18, Noida", Noida,Noida,"North Indian,  Chinese,  Mughlai",4.4,59,1200
Kake Da Hotel,"Paschim Vihar, West Delhi", West Delhi,Delhi,North Indian,4.6,6,1000
CUE- Culinary Urban Experience,"Manglam Paradise Mall,Rohini, North Delhi", North Delhi,Delhi,"North Indian,  Chinese,  Continental",4.2,241,2000
Ministry Of Sound,"Gardens Galleria,Sector 38A, Noida", Noida,Noida,World Cuisine,4.1,99,1800
The Smoke Factory,"Gardens Galleria,Sector 38A, Noida", Noida,Noida,"Multi-Cuisine,  Italian,  Chinese,  Continental",4.3,503,2000
Dramz Brasserie,"Mehrauli, South Delhi", South Delhi,Delhi,Italian,3.5,14,1200
Wok to Walk,"Ambience Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,"Asian,  Chinese",3.6,12,700
Locale,"PVR Anupam Complex,Saket, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Thai,  Mexican",4,219,2000
The Reader's Cafe,"Sector 18, Noida", Noida,Noida,"Italian,  Continental",4.2,17,1200
Dasaprakash,"Spice World Mall,Sector 25A, Noida", Noida,Noida,"South Indian,  North Indian,  Continental,  Oriental ",4.4,271,800
The Nerdy Indian,"Saket, South Delhi", South Delhi,Delhi,"North Indian,  Continental,  Italian",4.2,57,1000
SXVIII,"Radisson Blu MBD Noida,Sector 18, Noida", Noida,Noida,"North Indian,  Italian,  Chinese,  Thai,  Mediterranean",4.2,79,4400
Imperfecto Shor Cafe,"Pride Plaza Hotel Aerocity,Aerocity, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Mediterranean",4.1,102,2400
Theos,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"Desserts,  Bakery and Confectionary,  Fast Food",4.3,9,900
Reve,"Worldmark 1,Aerocity, South Delhi", South Delhi,Delhi,"Italian,  French,  Continental,  European,  American,  Desserts",4.4,116,1600
Dilli Kanteen Kitchen,"The Grand New Delhi,Vasant Kunj, South Delhi", South Delhi,Delhi,"Continental,  North Indian",4,165,1600
Roasted By Roseate,"Vasant Kunj, South Delhi", South Delhi,Delhi,"Desserts,  Fast Food,  Tea",4.4,14,1500
MOC - The American Restaurant,"Mayur Vihar Phase - 3, East Delhi", East Delhi,Delhi,"American,  Burger,  Fast Food",3,4,400
Gravity Mantra,"Sector 18, Noida", Noida,Noida,"North Indian,  Italian,  Continental,  Oriental ",4.2,612,2200
Zooby's Kitchen,"Jasola, South Delhi", South Delhi,Delhi,"North Indian,  Chinese",4.4,34,800
Taco Bell,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"Mexican,  Tex Mex,  Tex Mex",4.1,54,500
PapaJi & Sons,"Paschim Vihar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Continental,  Italian",4.1,7,900
The Tandoori Village,"Sector 18, Noida", Noida,Noida,"North Indian,  Chinese,  Mughlai",4.3,77,2100
Deli Belly Cafe & Bar,"DLF Building,Jasola, South Delhi", South Delhi,Delhi,"North Indian,  Continental",4.3,23,1600
NYC,"Radisson Blu Plaza,Mahipalpur, South Delhi", South Delhi,Delhi,"North Indian,  Continental",4.4,122,3000
Dhaba at Atta,"Sector 18, Noida", Noida,Noida,"North Indian,  Chinese,  Mughlai",4.2,399,1500
Chaayos,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"Street Food,  Tea,  Fast Food",4.2,28,500
The Great Kabab Factory,"Radisson Blu Plaza,Mahipalpur, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai",4.5,268,3000
Kampai,"Worldmark 1,Aerocity, South Delhi", South Delhi,Delhi,"Japanese,  Asian,  Sushi",4.5,103,2700
Ka Eclairs & Kafe,"Sector 18, Noida", Noida,Noida,"Desserts,  Bakery and Confectionary,  Fast Food",4.3,83,800
Tatva,"Country Inn and Suites By Radisson-Sahibabad,Sahibabad, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese",4.5,70,2500
3B's,"Country Inn and Suites By Radisson-Sahibabad,Sahibabad, Ghaziabad", Ghaziabad,Ghaziabad,"Multi-Cuisine,  North Indian,  Italian,  Oriental ",4.3,132,2800
Bikkgane Biryani,"Sector 18, Noida", Noida,Noida,"Biryani,  North Indian",4.1,54,1100
Kaffiiaa,"Sector 18, Noida", Noida,Noida,"Italian,  Fast Food,  Continental,  Seafood",4.1,28,1500
Uncle's Family Restaurant,"Sector 11, Noida", Noida,Noida,"North Indian,  Chinese",3.4,17,600
Chicago Pizza,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"Pizza,  Italian",3.7,60,600
Bean Sahab,"Saket, South Delhi", South Delhi,Delhi,"Fast Food,  Italian,  Continental,  American",4.6,13,600
Nook,"Aloft New Delhi,Aerocity, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Oriental ",4.1,215,2500
Wow! Momo,"Fun City Mall,Prashant Vihar, North Delhi", North Delhi,Delhi,"Fast Food,  Tibetan",3.8,25,400
The Bar Company,"Gardens Galleria,Sector 38A, Noida", Noida,Noida,"Multi-Cuisine,  North Indian,  Chinese,  European",4.1,192,2300
Singla's,"Tilak Nagar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Street Food,  Desserts",4,163,800
Edesia,"Crowne Plaza Today New Delhi Okhla,Okhla Phase - 1, South Delhi", South Delhi,Delhi,"North Indian,  Continental,  Japanese",4.4,100,3000
Kylin Express,"Ambience Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,"Chinese,  Asian",2.9,7,900
Fabcafe by Fabindia,"Vasant Kunj, South Delhi", South Delhi,Delhi,"Health Food,  Modern Indian,  North Indian,  Continental",4.7,77,1200
LIT Ultrabar,"Sector 18, Noida", Noida,Noida,"Finger Food,  North Indian,  Chinese,  Continental,  American",3.9,31,1500
The Tummy Section,"Jail Road, West Delhi", West Delhi,Delhi,"Fast Food,  Chinese",3,24,600
